0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
22   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /Users/jeff/Documents/workspace/dupcustomer/solr/server/contexts at interval 0
3063 [coreLoadExecutor-5-thread-1] WARN  org.apache.solr.core.SolrCore  – [basic] Solr index directory '/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data/index' doesn't exist. Creating new index...
3072 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data/index
3120 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@4eab53b3; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
3121 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 1
3176 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – no updateRequestProcessorChain defined as default, creating implicit default
3186 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update: org.apache.solr.handler.UpdateRequestHandler
3186 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update/json: org.apache.solr.handler.UpdateRequestHandler
3186 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update/csv: org.apache.solr.handler.UpdateRequestHandler
3186 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
3187 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /config: org.apache.solr.handler.SolrConfigHandler
3187 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /schema: org.apache.solr.handler.SchemaHandler
3196 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /replication: org.apache.solr.handler.ReplicationHandler
3197 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /get: org.apache.solr.handler.RealTimeGetHandler
3198 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/luke: org.apache.solr.handler.admin.LukeRequestHandler
3199 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/system: org.apache.solr.handler.admin.SystemInfoHandler
3200 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/mbeans: org.apache.solr.handler.admin.SolrInfoMBeanHandler
3200 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/plugins: org.apache.solr.handler.admin.PluginInfoHandler
3200 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/threads: org.apache.solr.handler.admin.ThreadDumpHandler
3201 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/properties: org.apache.solr.handler.admin.PropertiesRequestHandler
3201 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/logging: org.apache.solr.handler.admin.LoggingHandler
3202 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/file: org.apache.solr.handler.admin.ShowFileRequestHandler
3202 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/ping: org.apache.solr.handler.PingRequestHandler
3203 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /select: solr.SearchHandler
3204 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /query: solr.SearchHandler
3204 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /export: solr.SearchHandler
3204 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.FieldAnalysisRequestHandler
3204 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /analysis/field: solr.FieldAnalysisRequestHandler
3204 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
3205 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /analysis/document: solr.DocumentAnalysisRequestHandler
3205 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /debug/dump: solr.DumpRequestHandler
3206 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
3206 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /terms: solr.SearchHandler
3222 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
3224 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
3224 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
3225 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
3227 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – Using default statsCache cache: org.apache.solr.search.stats.LocalStatsCache
3242 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – Hard AutoCommit: if uncommited for 15000ms; 
3243 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – Soft AutoCommit: disabled
3249 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@4eab53b3; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
3250 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 1
3258 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.search.SolrIndexSearcher  – Opening Searcher@6cc1cfa[basic] main
3262 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – File-based storage initialized to use dir: /Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/conf
3262 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.RestManager  – Initializing RestManager with initArgs: {storageDir=/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/conf}
3269 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – Reading _rest_managed.json using file:dir=/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/conf
3272 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – Loaded LinkedHashMap at path _rest_managed.json using file:dir=/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/conf
3272 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResource  – Loaded initArgs {} for /rest/managed
3272 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.RestManager  – Initializing 0 registered ManagedResources
3277 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.ReplicationHandler  – Commits will be reserved for  10000
3278 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [basic] Registered new searcher Searcher@6cc1cfa[basic] main{ExitableDirectoryReader(UninvertingDirectoryReader())}
3279 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CoreContainer  – registering core: basic
3280 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – user.dir=/Users/jeff/Documents/workspace/dupcustomer/solr/server
3280 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init() done
3297 [main] INFO  org.eclipse.jetty.server.AbstractConnector  – Started SocketConnector@0.0.0.0:8983
8480 [ShutdownMonitor] INFO  org.eclipse.jetty.server.Server  – Graceful shutdown SocketConnector@0.0.0.0:8983
8481 [ShutdownMonitor] INFO  org.eclipse.jetty.server.Server  – Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr-webapp/webapp/},/Users/jeff/Documents/workspace/dupcustomer/solr/server/webapps/solr.war
9486 [ShutdownMonitor] INFO  org.apache.solr.core.CoreContainer  – Shutting down CoreContainer instance=850551034
9487 [ShutdownMonitor] INFO  org.apache.solr.core.SolrCore  – [basic]  CLOSING SolrCore org.apache.solr.core.SolrCore@2c627046
9488 [ShutdownMonitor] INFO  org.apache.solr.update.UpdateHandler  – closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0,transaction_logs_total_size=0,transaction_logs_total_number=0}
9488 [ShutdownMonitor] INFO  org.apache.solr.update.SolrCoreState  – Closing SolrCoreState
9488 [ShutdownMonitor] INFO  org.apache.solr.update.DefaultSolrCoreState  – SolrCoreState ref count has reached 0 - closing IndexWriter
9489 [ShutdownMonitor] INFO  org.apache.solr.update.DefaultSolrCoreState  – closing IndexWriter with IndexWriterCloser
9492 [ShutdownMonitor] INFO  org.apache.solr.core.SolrCore  – [basic] Closing main searcher on request.
9493 [ShutdownMonitor] INFO  org.apache.solr.core.CachingDirectoryFactory  – Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
9493 [ShutdownMonitor] INFO  org.apache.solr.core.CachingDirectoryFactory  – looking to close /Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data/index [CachedDir<<refCount=0;path=/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data/index;done=false>>]
9494 [ShutdownMonitor] INFO  org.apache.solr.core.CachingDirectoryFactory  – Closing directory: /Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data/index
9494 [ShutdownMonitor] INFO  org.apache.solr.core.CachingDirectoryFactory  – looking to close /Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data [CachedDir<<refCount=0;path=/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data;done=false>>]
9494 [ShutdownMonitor] INFO  org.apache.solr.core.CachingDirectoryFactory  – Closing directory: /Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data
9495 [ShutdownMonitor] INFO  org.eclipse.jetty.server.handler.ContextHandler  – stopped o.e.j.w.WebAppContext{/solr,file:/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr-webapp/webapp/},/Users/jeff/Documents/workspace/dupcustomer/solr/server/webapps/solr.war
