INFO  - 2015-04-20 18:46:32.080; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2015-04-20 18:46:32.095; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data
INFO  - 2015-04-20 18:46:32.097; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data/index/
WARN  - 2015-04-20 18:46:32.097; org.apache.solr.core.SolrCore; [basic] Solr index directory '/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data/index' doesn't exist. Creating new index...
INFO  - 2015-04-20 18:46:32.106; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data/index
INFO  - 2015-04-20 18:46:32.154; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@4eab53b3; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-04-20 18:46:32.155; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-04-20 18:46:32.210; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2015-04-20 18:46:32.220; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-04-20 18:46:32.220; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-04-20 18:46:32.220; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-04-20 18:46:32.220; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-04-20 18:46:32.221; org.apache.solr.core.RequestHandlers; created /config: org.apache.solr.handler.SolrConfigHandler
INFO  - 2015-04-20 18:46:32.221; org.apache.solr.core.RequestHandlers; created /schema: org.apache.solr.handler.SchemaHandler
INFO  - 2015-04-20 18:46:32.230; org.apache.solr.core.RequestHandlers; created /replication: org.apache.solr.handler.ReplicationHandler
INFO  - 2015-04-20 18:46:32.231; org.apache.solr.core.RequestHandlers; created /get: org.apache.solr.handler.RealTimeGetHandler
INFO  - 2015-04-20 18:46:32.232; org.apache.solr.core.RequestHandlers; created /admin/luke: org.apache.solr.handler.admin.LukeRequestHandler
INFO  - 2015-04-20 18:46:32.233; org.apache.solr.core.RequestHandlers; created /admin/system: org.apache.solr.handler.admin.SystemInfoHandler
INFO  - 2015-04-20 18:46:32.234; org.apache.solr.core.RequestHandlers; created /admin/mbeans: org.apache.solr.handler.admin.SolrInfoMBeanHandler
